node_id,article_node_name,evidence_inclusion,Peer_reviewed_source,evidence_type,has_data,of_quality,evidence_type_synthetic,evidence_type_fine,evidence_type_simple,in_support,evidence_type_synthetic_simple
(Jiménez-Uzcátegui et al. 2019)_EXCLUDE_NA_Expert opinion_NA_NA,(Jiménez-Uzcátegui et al. 2019),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Jones 1988)_EXCLUDE_Peer-reviewed journal article_Failure to access or locate online full citation_NA_NA,(Jones 1988),EXCLUDE,Peer-reviewed journal article,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Jones 1993)_EXCLUDE_Peer-reviewed journal article_Failure to access or locate online full citation_NA_NA,(Jones 1993),EXCLUDE,Peer-reviewed journal article,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Jones et al. 2004)_EXCLUDE_NA_Does not test claim_NA_NA,(Jones et al. 2004),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Does not test claim,Excluded,Not relevant,Excluded
K. Morris pers. Comm_EXCLUDE_NA_Personal communication_NA_NA,K. Morris pers. Comm,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
K. Otsuki pers comm. 2015_EXCLUDE_NA_Personal communication_NA_NA,K. Otsuki pers comm. 2015,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
K. Sivakumar in litt. 2004_EXCLUDE_NA_Unpublished data or article_NA_NA,K. Sivakumar in litt. 2004,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
(Kear & Scarlett 1970)_EXCLUDE_NA_Expert opinion_NA_NA,(Kear & Scarlett 1970),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Keitt et al. 2005)_EXCLUDE_Online resource_Failure to access or locate online full citation_NA_NA,(Keitt et al. 2005),EXCLUDE,Online resource,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Keitt 1998)_EXCLUDE_Thesis_Failure to access or locate online full citation_NA_NA,(Keitt 1998),EXCLUDE,Thesis,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Keitt et al. 2006)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Keitt et al. 2006),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Keitt & Tershy 2003)_INCLUDE_NA_Predation in support_no_no,(Keitt & Tershy 2003),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Kemp & Kirwan 2020)_EXCLUDE_Online resource_Failure to access or locate online full citation_NA_NA,(Kemp & Kirwan 2020),EXCLUDE,Online resource,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
Kirkconnell 2013_EXCLUDE_NA_Missing reference_NA_NA,Kirkconnell 2013,EXCLUDE,,Inaccessible,"",no,Inaccessible,Missing reference,Excluded,Not relevant,Excluded
(Kumar 2019)_INCLUDE_NA_Population in support_yes_no,(Kumar 2019),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
L. Bonaparte in litt. 2022_EXCLUDE_NA_Unpublished data or article_NA_NA,L. Bonaparte in litt. 2022,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
L. Broome pers. comm._EXCLUDE_NA_Personal communication_NA_NA,L. Broome pers. comm.,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
L. Dollar pers. comm._EXCLUDE_NA_Personal communication_NA_NA,L. Dollar pers. comm.,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
(Lacey & O'Brien 2015)_EXCLUDE_Peer-reviewed journal article_Failure to access or locate online full citation_NA_NA,(Lacey & O'Brien 2015),EXCLUDE,Peer-reviewed journal article,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Larsen 2020)_EXCLUDE_Online resource_Failure to access or locate online full citation_NA_NA,(Larsen 2020),EXCLUDE,Online resource,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Leahy et al. 2015)_EXCLUDE_NA_No claim_NA_NA,(Leahy et al. 2015),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Leary 1992)_EXCLUDE_NA_No claim_NA_NA,(Leary 1992),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Lepson 2020)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Lepson 2020),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Lepson & Freed 2020)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Lepson & Freed 2020),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Leseberg et al. 2021)_EXCLUDE_NA_Expert opinion_NA_NA,(Leseberg et al. 2021),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Lindsey et al. 2009)_EXCLUDE_NA_No claim_NA_NA,(Lindsey et al. 2009),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Lindsey et al. 2009)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Lindsey et al. 2009),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Lindsey et al. 1998)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Lindsey et al. 1998),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Livezey 1989)_EXCLUDE_NA_No claim_NA_NA,(Livezey 1989),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Lorenzo et al. 2014)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Lorenzo et al. 2014),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Lorenzo et al. 2018a)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Lorenzo et al. 2018a),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Lorenzo et al. 2015)_EXCLUDE_NA_Expert opinion_NA_NA,(Lorenzo et al. 2015),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Lorenzo et al. 2018b)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Lorenzo et al. 2018b),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Loustau-Lalanne 1962)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Loustau-Lalanne 1962),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Lovegrove et al. 1989)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Lovegrove et al. 1989),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Lundie-Jenkins & Payne 2000)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Lundie-Jenkins & Payne 2000),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Lynn & Grant 1940)_EXCLUDE_Journal pre-1975_Failure to access or locate online full citation_NA_NA,(Lynn & Grant 1940),EXCLUDE,Journal pre-1975,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
M. Brooke in litt. 2012_EXCLUDE_NA_Unpublished data or article_NA_NA,M. Brooke in litt. 2012,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
M. O'Brien in litt. 2023_EXCLUDE_NA_Unpublished data or article_NA_NA,M. O'Brien in litt. 2023,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
M. Rauzon in litt. 1999_EXCLUDE_NA_Unpublished data or article_NA_NA,M. Rauzon in litt. 1999,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
M. Reed in litt. 2007_EXCLUDE_NA_Unpublished data or article_NA_NA,M. Reed in litt. 2007,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
M. Ryan in litt. 2022_EXCLUDE_NA_Unpublished data or article_NA_NA,M. Ryan in litt. 2022,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
M. Sumontha pers. comm. 2017_EXCLUDE_NA_Personal communication_NA_NA,M. Sumontha pers. comm. 2017,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
(MRRP 2010)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(MRRP 2010),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(MacLeod & Steinfartz 2016)_INCLUDE_NA_Population in support_no_no,(MacLeod & Steinfartz 2016),INCLUDE,"",Population in support,no,no,Population in support without data,Population in support without data,Population without data,Yes,Population in support without data
(Marchant & Higgins 1993)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Marchant & Higgins 1993),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Martin et al. 2000)_EXCLUDE_NA_No claim_NA_NA,(Martin et al. 2000),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Masibalavu & Mucklow 2008)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Masibalavu & Mucklow 2008),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Mathieson & Smith 2009a)_EXCLUDE_NA_Expert opinion_NA_NA,(Mathieson & Smith 2009a),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Mattern & Ellenberg 2016)_EXCLUDE_NA_No claim_NA_NA,(Mattern & Ellenberg 2016),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
Mauritius Reptile Recovery Programme unpubl. Data_EXCLUDE_NA_Unpublished data or article_NA_NA,Mauritius Reptile Recovery Programme unpubl. Data,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
(Maxwell et al. 1996)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Maxwell et al. 1996),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(McGregor et al. 2015)_EXCLUDE_NA_No claim_NA_NA,(McGregor et al. 2015),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(McGregor et al. 2014)_EXCLUDE_NA_No claim_NA_NA,(McGregor et al. 2014),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(McGregor et al. 2016)_EXCLUDE_NA_No claim_NA_NA,(McGregor et al. 2016),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Mellink et al. 2002)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Mellink et al. 2002),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Mills 2013)_EXCLUDE_NA_Expert opinion_NA_NA,(Mills 2013),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Milner et al. 2015)_EXCLUDE_NA_No claim_NA_NA,(Milner et al. 2015),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Ministerio del Medio Ambiente 2014)_EXCLUDE_NA_No claim_NA_NA,(Ministerio del Medio Ambiente 2014),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Miskelly et al. 2020)_EXCLUDE_NA_No claim_NA_NA,(Miskelly et al. 2020),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Mitchell et al. 2005)_EXCLUDE_NA_Expert opinion_NA_NA,(Mitchell et al. 2005),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Monnet et al. 1993)_EXCLUDE_NA_No claim_NA_NA,(Monnet et al. 1993),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Mori et al. 2019)_INCLUDE_NA_Predation in support_no_no,(Mori et al. 2019),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Mosher 2006)_EXCLUDE_Thesis_Failure to access or locate online full citation_NA_NA,(Mosher 2006),EXCLUDE,Thesis,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Murphy et al. 2018)_INCLUDE_NA_Population in support_yes_yes,(Murphy et al. 2018),INCLUDE,"",Population in support,yes,yes,Population in support with data of quality,Population in support with data of quality,Population with data,Yes,Population in support with data
(Márquez B et al. 2010)_EXCLUDE_NA_Expert opinion_NA_NA,(Márquez B et al. 2010),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
N. Cole pers. obs._EXCLUDE_NA_Personal communication_NA_NA,N. Cole pers. obs.,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
"N. Marlow, P. de Tores and K. Morris et al., pers. comm._EXCLUDE_NA_Personal communication_NA_NA","N. Marlow, P. de Tores and K. Morris et al., pers. comm.",EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
N. Sallaberry pers comm. 2015_EXCLUDE_NA_Personal communication_NA_NA,N. Sallaberry pers comm. 2015,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
NOTHING_EXCLUDE_NA_No citation given_NA_NA Acrocephalus aequinoctialis,NOTHING NA Acrocephalus aequinoctialis,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Aegotheles savesi,NOTHING NA Aegotheles savesi,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Agelaius xanthomus,NOTHING NA Agelaius xanthomus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Algyroides marchi,NOTHING NA Algyroides marchi,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Alsophis rijgersmaei,NOTHING NA Alsophis rijgersmaei,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Alsophis rufiventris,NOTHING NA Alsophis rufiventris,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Ameiva provitaae,NOTHING NA Ameiva provitaae,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Anadia bogotensis,NOTHING NA Anadia bogotensis,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Anolis bicaorum,NOTHING NA Anolis bicaorum,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Anolis gorgonae,NOTHING NA Anolis gorgonae,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Anolis lividus,NOTHING NA Anolis lividus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Anolis nelsoni,NOTHING NA Anolis nelsoni,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Anolis pigmaequestris,NOTHING NA Anolis pigmaequestris,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Antillotyphlops monastus,NOTHING NA Antillotyphlops monastus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Antillotyphlops richardii,NOTHING NA Antillotyphlops richardii,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Aplonis santovestris,NOTHING NA Aplonis santovestris,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Apteryx haastii,NOTHING NA Apteryx haastii,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Aspidoscelis catalinensis,NOTHING NA Aspidoscelis catalinensis,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Atelopus guanujo,NOTHING NA Atelopus guanujo,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Atopogale cubana,NOTHING NA Atopogale cubana,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Bavayia exsuccida,NOTHING NA Bavayia exsuccida,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Bavayia montana,NOTHING NA Bavayia montana,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Bavayia ornata,NOTHING NA Bavayia ornata,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Bavayia robusta,NOTHING NA Bavayia robusta,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
