original,Endnote_intext_citation
"Bentz, E.J., Rodríguez, M.R., John, R.R., Henderson, R.W. and Powell, R., 2011. Population densities, activity, microhabitats, and thermal biology of a unique crevice-and litter-dwelling assemblage of reptiles on Union Island, St. Vincent and the Grenadines. Herpetological Conservation and Biology, 6(1), pp.40-50.",(Bentz et al. 2011)
"Berlin, K. E., VanGelder, E. M. 1999. 'Akohekohe Palmeria dolei. In: Poole, A.; Gill, F. (ed.), The birds of North America, 400, pp. 1-16. The Birds of North America, Inc., Philadelphia.",(Berlin & Vangelder 1999)
"Berris, K.K., Cooper, S.J., Breed, W.G., Berris, J.R. and Carthew, S.M., 2020. A comparative study of survival, recruitment and population growth in two translocated populations of the threatened greater bilby (Macrotis lagotis). Wildlife Research, 47(5), pp.415-425.",(Berris et al. 2020)
Berruti A (1986) The predatory impact of feral cats Felis catus and their control on Dassen Island. S Afr J Antarct Res 16:123-127,(Berruti 1986)
"Berruti, A., 1971. The predatory impact of feral cats Felis catus and their control on Dassen Island. Vol 4.",(Berruti 1986)
"Berruti, A., Cooper, J. and Newton, I.P., 1995. Morphometrics and breeding biology of the Whitechinned Petrel Procellaria aequinoctialis at sub-Antarctic Marion Island. Ostrich, 66(2-3), pp.74-80.",(Berruti et al. 1995)
"Best, H. A. and Powlesland, R. G. (1985) Kakapo. Dunedin: J. Mclndoe and New Zealand Wildlife Service.",(Best & Powlesland 1985)
"Biological Resources Division, unpubl.","Biological Resources Division, unpubl."
"Bird J.P., Carlile N., Miller, M.G.R. 2014. A review of records and research actions for the Critically Endangered Beck’s Petrel Pseudobulweria becki. Bird Conservation International 24: 287-298.",(Bird et al. 2014)
"Bird, J.P., Fuller, R.A. and Shaw, J.D., 2024. Patterns of recovery in extant and extirpated seabirds after the world's largest multipredator eradication. Conservation Biology, 38(4), p.e14239.",(Bird et al. 2024)
"BirdLife International (2000). Threatened birds of the world. Lynx Edicions and BirdLife International, Barcelona and Cambridge.",(BirdLife International 2000)
BirdLife International (2018). Species factsheet: White-capped Albatross Thalassarche steadi. Downloaded from https://datazone.birdlife.org/species/factsheet/white-capped-albatross-thalassarche-steadi  on 15/05/2025,(BirdLife International 2018)
"BirdLife International. 2001. Threatened birds of Asia: the BirdLife International Red Data Book. BirdLife International, Cambridge, U.K.",(BirdLife International 2001)
BirdLife International. 2020. Species factsheet: Eurostopodus nigripennis [cited 17 Nov 2020]. http://www.birdlife.org,(BirdLife International 2023)
"Birds Caribbean. 2021. The Caribbean has Two New Bird Species. Sadly, They May Both be Extinct. Available at: https://www.birdscaribbean.org/2021/07/the-caribbean-has-two-new-bird-species-sadly-they-may-both-be-extinct/.",(Birds Caribbean 2021)
"Bisbal, F., 2008. The terrestrial vertebrates of the Federal Dependences of Venezuela. Interciencia, 33(2), pp.103-111.",(Bisbal 2008)
"Bissessur, P. and Florens, F.B.V. 2018. Predation of the Mauritius endemic Macchabé Skink, Gongylomorphus bojerii fontenayi, by the Common myna, Acridotheres tristis. Bulletin Phaeton 48: 91-93.",(Bissessur & Florens 2018)
"Biswell, S. 2006. Ferals filmed killing endangered chicks. Forest and Bird 319.",(Biswell 2006)
"Biteman, D. S., B. E. Cross, A. S. Bridges, and D. K. Garcelon. 2015. Predator research and ecosystem management in support of the recovery of the San Clemente loggerhead shrike on San Clemente Island: final annual report-2014. Natural Resources Office, Naval Base Coronado, San Diego, CA.",(Biteman et al. 2015)
"Blanchard, P., Delord, K., Bodin, A., Guille, K., Getti, T. and Barbraud, C., 2024. Impact and control of feral cats preying on wandering albatrosses: Insights from a field experiment. Ecosphere, 15(2), p.e4792.",(Blanchard et al. 2024)
"Blanvillain, C., Florent, C. and Thenot, V., 2002. Land birds of Tuamotu Archipelago, Polynesia: relative abundance and changes during the 20th century with particular reference to the critically endangered Polynesian ground-dove (Gallicolumba erythroptera). Biological conservation, 103(2), pp.139-149.",(Blanvillain et al. 2002)
"Blanvillain, C., Thorsen, M. 2003. The biology of the critically endangered Marquesan Imperial-Pigeon (Ducula galeata), Nuku Hiva, Marquesas Archipelago (French Polynesia). Emu 103: 381-386.",(Blanvillain & Thorsen 2003)
"Bloomer JP, Bester MN (1990) Diet of a declining feral cat Felis catus population on Marion Island. South African Journal of Wildlife Research, 20, 1-4.",(Bloomer & Bester 1990)
"Blumstein, D.T., Letnic, M. and Moseby, K.E., 2019. In situ predator conditioning of naive prey prior to reintroduction. Philosophical Transactions of the Royal Society B, 374(1781), p.20180058.",(Blumstein et al. 2019)
"Blumton, A. K. 1989. Factors affecting Loggerhead Shrike mortality in Virginia. M.Sc. thesis, Virginia Polytechnic Institute and State University, Blacksburg, Virginia.",(Blumton 1989)
"Blythman, M., Lohr, C., Sims, C. and Morris, K., 2020. Translocation of Golden Bandicoots, Isoodon auratus barrowensis, from a fenced enclosure to unfenced managed land on Matuwa (formally Lorna Glen) September 2015: Final Report. Department of Biodiversity Conservation and Attractions, Perth Western Australia, 43.",(Blythman et al. 2020)
Boersma PD 1977. An ecological and behavioural study of the Galapagos penguin. Living Bird 15:43-93.,(Boersma 1976)
"Boersma, P.D., Steinfurth, A., Merlen, G., Jímeñez-Uzcategui, G., Vargas, H., and P. Parker. 2013. Galápagos Penguin (Spheniscus mendiculus). In Penguins: Natural History and Conservation (Garcia-Borboroglu and Boersma eds.) University of Washington Press. Seattle, WA.: 286-302.",(Boersma et al. 2013)
"Boersma, P.D., Steinfurth, A., Merlen, G., Jímeñez-Uzcategui, G., Vargas, H., and P. Parker. 2015. Pingüino de Galápagos (Spheniscus mendiculus). En Pingüinos: Historia Natural y Conservación (Garcia-Borboroglu and Boersma eds.) Vazquez Mazzini Editores. Buenos Aires, Argentina: 308-328.",(Boersma et al. 2015)
"Bonnaud, E., Berger, G., Bourgeois, K., Legrand, J. and Vidal, E. 2012. Predation by cats could lead to the extinction of the Mediterranean endemic Yelkouan Shearwater Puffinus yelkouan at a major breeding site. Ibis 154(3): 566-577.",(Bonnaud et al. 2012)
"Bonnaud, E., Bourgeois, K., Vidal, E., Kayser, Y., Tranchant, Y. and Legrand, J., 2007. Feeding ecology of a feral cat population on a small Mediterranean island. Journal of Mammalogy, 88(4), pp.1074-1081.",(Bonnaud et al. 2007)
"Bonnaud, E., Medina, F.M., Vidal, E., Nogales, M., Tershy, B., Zavaleta, E., Donlan, C.J., Keitt, B., Le Corre, M. and Horwath, S.V., 2011. The diet of feral cats on islands: a review and a call for more studies. Biological Invasions, 13, pp.581-603.",(Bonnaud et al. 2010a)
"Bonnaud, E., Palmas, P., Bourgeois, K., Ollier, S., Zarzoso-Lacoste, D. and Vidal, E., 2015. Island specificities matter: cat diet differs significantly between islands of a major breeding archipelago for a vulnerable endemic seabird. Biological Invasions, 17, pp.2927-2941.",(Bonnaud et al. 2015)
"Borkin, K.M., Easton, L. and Bridgman, L., 2023. Bats attacked by companion and feral cats: evidence from indigenous forest and rural landscapes in New Zealand. New Zealand Journal of Zoology, 50(3), pp.425-432.",(Borkin et al. 2023)
"Borroto-Páez, R. and Espinosa Romo, A. 2011. La jutía carabalí. In: R. Borroto-Páez. and C.A. Mancina (eds), Mamíferos en Cuba, pp. 82-89. UPC Print, Vaasa, Finland.",(Borroto-Páez et al. 2011)
"Borroto-Páez, R. and Mancina, C.A., 2017. Biodiversity and conservation of Cuban mammals: past, present, and invasive species. Journal of Mammalogy, 98(4), pp.964-985.",(Borroto-Páez & Mancina 2017)
"Borroto-Páez, R. and Ramos, I. 2012. Status of the hutias (Rodentia: Capromyidae) in Los Canarreos Archipelago, Cuba. In: Borroto-Páez, R., Woods, C.A., and Sergile, F.E. (eds), Terrestrial Mammals of the West Indies. Contributions, pp. 221-228. Wocahoota press and Florida Museum of Natural History.",(Borroto-Páez & Ramos 2012)
"Bossart, G. D., Ewing, R. Y., Lowe, M., Sweat, M., Decker, S. J., Walsh, C. J., Ghim, S. and Jenson, A. B. 2002. Viral papillomatosis in Florida manatees (Trichechus manatus latirostris). Experimental and Molecular Pathology 72: 37-48.",(Bossart et al. 2002)
"Bossart, G. D., Meisner, R. A., Rommel, S. A., Ghim, S. and Jenson, A. B. 2002. Pathological features of the Florida manatee cold stress syndrome. Aquatic Mammals 29: 9-17.",(Bossart et al. 2003)
"Bourgeois, K. and Vidal, E., 2008. The endemic Mediterranean yelkouan shearwater Puffinus yelkouan: distribution, threats and a plea for more data. Oryx, 42(2), pp.187-194.",(Bourgeois & Vidal 2008)
"Bourgoin, C., Barbraud, C., Getti, T., Delord, K., Angelier, F., Bodin, A. and Blanchard, P., 2024. Brooding duration does not depend on cat predation risk but is related to weather and phenology in the wandering albatross (Diomedea exulans). Ecology and Evolution, 14(9), p.e70174.",(Bourgoin et al. 2024)
"Bradley, K.A. and Gerber, G.P., 2005. Conservation of the Anegada iguana (Cyclura pinguis). Iguana, 12(2), pp.78-85.",(Bradley & Gerber 2005)
"Bradley, K.A. and Gerber, G.P., 2006. Release of headstarted iguanas in Anegada. British Virgin Islands. Re-introduction News, 25, pp.14-16.",(Bradley & Gerber 2006)
"Bretagnolle, V., Renaudet, L., Villard, P., Shirihai, H., Carlile, N. and Priddel, D., 2021. Status of Gould’s petrel Pterodroma leucoptera caledonica in New Caledonia: distribution, breeding biology, threats and conservation. Emu-Austral Ornithology, 121(4), pp.303-313.",(Bretagnolle et al. 2021)
"Brockman, D.K., Godfrey, L.R., Dollar, L.J. and Ratsirarson, J., 2008. Evidence of invasive Felis silvestris predation on Propithecus verreauxi at Beza Mahafaly special reserve, Madagascar. International Journal of Primatology, 29, pp.135-152.",(Brockman et al. 2008)
"Brooke, M. de L. (1987) The birds of the Juan Fernandez Islands, Chile. Cambridge, UK: International Council for Bird Preservation (Tech. Report 16).",(Brooke 1987a)
"Brooke, M. de L. 2004. Albatrosses and Petrels Across the World. Oxford University Press, Oxford.",(Brooke 2004)
"Broome L and Ford F (2005). Post fire recovery of Mountain Pygmy-possum and Smoky mice in Kosciuszko National Park. Pages 31-38 In: Fire Biodiversity in the Australian Alps National Parks. Workshop proceedings Albury NSW 2005. Australian Alps Liaison Committee, September 2005.",(Broome & Ford 2005)
"Broome LS (1992). Ecology and management of the mountain pygmy-possum, B. parvus Broom, in Kosciusko National Park. NSW National Parks and Wildlife Service, Sydney.",(Broome 1992)
"Broome, L., Archer, M., Bates, H., Shi, H., Geiser, F., McAllan, B., Heinze, D., Hand, S., Evans, T. and Jackson, S. (2012) A brief review of the life history of, and threats to, Burramys parvus with a pre-history based proposal for ensuring that it has a future. Pp 114-126 in Wildlife and Climate Change: towards robust conservation strategies for Australian fauna, edited by Daniel Lunney and Pat Hutchings, 2012 Royal Zoological Society of NSW, Mosman, NSW, Australia.",(Broome et al. 2012)
"Bruner, P. L. 1972. The birds of French Polynesia. Bernice P. Bishop Museum, Honolulu.",(Bruner 1972)
"Buden, D. W. 2000. A comparison of 1983 and 1994 bird surveys of Pohnpei, Federated States of Micronesia. Wilson Bulletin 112: 403-410.",(Buden 2000)
"Buller, W. L. 1905. Supplement to the birds of New Zealand, volume 1. London: privately published.",(Buller & Keulemans 1905)
"Burbidge AA (2004) Montebello Renewal: Western Shields review – February 2003. Conservation Science Western Australia, 5, 194-201.",(Burbidge 2004)
"Burbidge, A.A. and Manly, B.F.J. 2002. Mammal extinctions on Australian islands: causes and conservation implications. Journal of Biogeography 29: 465-474.",(Burbidge & Manly 2002)
"Burbidge, A.A. and McKenzie, N.L. 1989. Patterns in the modern decline of Western Australia's vertebrate fauna: causes and conservation implications. Biological Conservation 50: 143-198.",(Burbidge & McKenzie 1989)
"Burbidge, A.A. and Short, J.C. 2008. Burrowing Bettong, Bettongia lesueur. In: S. Van Dyck and R. Strahan (eds), The mammals of Australia. Third Edition, pp. 288-290. Reed New Holland, Sydney, Australia.",(Burbidge & Short 2008)
"Burbidge, A.A., Blyth, J.D., Fuller, P.J., Kendrick, P.G., Stanley, F.J. and Smith, L.E. (2000). The terrestrial vertebrate fauna of the Montebello Islands, Western Australia. CALMScience 3(2), 95-107.",(Burbidge et al. 2000)
"Burns, F., McCulloch, N., Székely, T. and Bolton, M. 2013. The impact of introduced predators on an island endemic, the St Helena Plover, Charadrius sanctaehelenae. Bird Conservation International 23: 125-135.",(Burns et al. 2013)
"Burns, P.A., 2019. Testing the decline of the New Holland mouse (Pseudomys novaehollandiae) in Victoria. Australian Mammalogy, 42(2), pp.185-193.",(Burns 2020)
"Butler, D. (1989) Quest for the Kakapo. Auckland: Heinemann Reed.",(Butler 1989)
"Butler, D., Merton, D. 1992. The Black Robin: saving the world's most endangered bird. Oxford University Press, Auckland.",(Butler 1992)
C. Blanvillain in litt. 2016,C. Blanvillain in litt. 2016
"C. F. O’Donnell, J. M. Hoare, Meta-analysis of status and trends in breeding populations of black-fronted terns (Chlidonias albostriatus) 1962-2008. New Zealand Journal of Ecology. 35, 30–43 (2011).",(O'Donnell & Hoare 2011)
"C. G. Jones et al., The restoration of the Mauritius kestrel Falco punctatus population. Ibis. 137, S173–S180 (1995).",(Jones et al. 1995)
"C. G. MacFarland, J. Villa, B. Toro, The Galápagos giant tortoises (Geochelone elephantopus) part I: status of the surviving populations. Biological Conservation. 6, 63–64 (1974).",(MacFarland et al. 1974a)
"C. G. MacFarland, J. Villa, B. Toro, The Galápagos giant tortoises (Geochelone elephantopus) part II: conservation methods. Biological Conservation. 6, 198–212 (1974).",(MacFarland et al. 1974b)
"C. Hodges, R. J. Nagata, in Evolution, ecology, conservation and management of Hawaiian birds a vanishing avifauna, J. M. Scott, S. Conant, C. van Riper, Eds. (2003), vol. 22, pp. 308–318.",(Hodges & Nagata Sr 2001)
"C. J. R. Robertson, “Effects of intervention on the royal albatross population at Taiaroa Head, Otago, 1937-2001” (Department of Conservation, Wellington, 2001).",(Robertson 2001)
C. Licarião in litt. 2024,C. Licarião in litt. 2024
"C. Lorenzo, S. T. Álvarez-Castañeda, J. Vazquez, Conservation status of the threatened, insular San Jose brush rabbit (Sylvilagus mansuetus). Western North American Naturalist. 71, 10–16 (2011).",(Lorenzo et al. 2011)
C. Marquez and D. Cisneros-Heredia pers. comm. 2014,C. Marquez and D. Cisneros-Heredia pers. comm. 2014
"C. Palmer, R. Taylor, A. A. Burbidge, “Recovery plan for the golden bandicoot (Isoodon auratus) and golden-backed treerat (Mesembriomys macrurus) 2004 - 2009” (Northern Territory Department of Infrastructure Planning and Environment, Darwin, 2003).",(Palmer et al. 2003)
"C. R. Veitch, C. M. Miskelly, G. A. Harper, G. A. Taylor, A. Tennyson, Birds of the Kermadec Islands, south-west Pacific. Notornis. 51, 61–90 (2004).",(Veitch et al. 2004)
C. Schuster pers. comm. 2022,C. Schuster pers. comm. 2022
"C. Terry, pers. comm. 1999","C. Terry, pers. comm. 1999"
"C. V. Espinosa-Gayosso, S. T. Álvarez-Castañeda, Status of Dipodomys insularis, an endemic species of San Jose Island, Gulf of California, Mexico. Journal of Mammalogy. 87, 677–682 (2006).",(Espinosa-Gayosso & Álvarez-Castañeda 2006)
"Cabrera, M.R. and Carreira, S. 2009. A new, but probably extinct, species of Cnemidophorus (Squamata, Teiidae) from Uruguay. The Herpetological Journal 19(2): 97-105.",(Cabrera & Carreira 2009)
"Cade, T.J. and Jones, C.G., 1993. Progress in restoration of the Mauritius kestrel. Conservation Biology, 7(1), pp.169-175.",(Cade & Jones 1993)
